video_id,comment_text
eCjuoqUy8Is,"Thank you, one of the best video on ML Ops, ML production system design."
eCjuoqUy8Is,"Hi,
One query on DVC pipeline - what if data injection and cleaning pipeline is working in different tool, for example one company doing this in MS Fabric, in this case how would be flow ?"
eCjuoqUy8Is,"Thanks, any book which you can suggest which covers this..."
eCjuoqUy8Is,Sir MLOps ka full playlist upload kijiye plz
eCjuoqUy8Is,I'm a Java developer but wants to switch from Java to MLOps ...is it possible or not sir
eCjuoqUy8Is,❤❤❤
eCjuoqUy8Is,Sir project ka link bhi daal diya karo...mein apka paid member hoo bhaut dhoondna padta hai ..air milta nahi hai kayi baar
eCjuoqUy8Is,Why did u not use Jenkins?
eCjuoqUy8Is,Sir when are you continuing this playlist again
eCjuoqUy8Is,please please please please complete the playlist sir. please
eCjuoqUy8Is,English??
eCjuoqUy8Is,bro agli video remove kyu kr di🤦🏻
eCjuoqUy8Is,"Sir, when will the remaining videos be released?"
eCjuoqUy8Is,Waiting for other videos of this series
eCjuoqUy8Is,legend
eCjuoqUy8Is,Sir Please is playlist ko continue kariye  kaafi time se wait kar rhe hai 😢
eCjuoqUy8Is,This is gold.
eCjuoqUy8Is,nice video
eCjuoqUy8Is,Sir ...mlops resume to kaaro plz
eCjuoqUy8Is,Sir yeh jo model aap nay git par push kia hai is ka github par link mil sakta hai kya ? Please share this project github link
eCjuoqUy8Is,Thank you very much.
eCjuoqUy8Is,what if loadbalncer itself crashed then how to handle ?
eCjuoqUy8Is,"please continue this playlist, it's been a while no videos are uploaded"
eCjuoqUy8Is,next part upload sir
eCjuoqUy8Is,can i deploy it using render ?
eCjuoqUy8Is,Sir please continue this Playlist..🙏😢
eCjuoqUy8Is,"One suggestion here instead of deploying to asg through cloud deploy , we can deploy the the docker image to k8s cluster , which is a best practice now a days"
eCjuoqUy8Is,"Great introduction to MLOps 👏 The theory part is well covered, would love to see more practical hands-on examples in future videos!"
eCjuoqUy8Is,sir please continue mlops playlist
eCjuoqUy8Is,why you stopped this playlist ?
eCjuoqUy8Is,Thank you
eCjuoqUy8Is,"is the source code of discussed project in video , is not available freely?? 
I cannot see github repo link??"
eCjuoqUy8Is,Sir Please Upload More Videos related to MLOps
eCjuoqUy8Is,Extremely fantastic explanation 👏👏👏
eCjuoqUy8Is,"flask api,  web technologies of extension similar to web page.
front end-> back end-> model
mlflow-> for experimentation.
1. word to numbers
2. imbanlance data-> techniques
3.algo? 


drift???

model works fine today, but may not work tomorrow


automation using DVC pipeline:
data ingestion->data cleaning->feature engineering->training

params.yaml passes parameter from experiments
DVC pipeline automatically triggers and re trainings with changes

models: storage

mlops models,  better than cloud storage

after training ->staging(Testing model) -> if it  passes the test then production.

how to test: 
1. model loading correctly or not
2. performance testing(at least 85%)
3. or compare with existing model 

model promotion: if model passes staging and goes to deployment



dockerisation:
flast api->docker image

ECR(AWS) stored docker image

EC2-> instance -> deployment"
eCjuoqUy8Is,Sir bhool gye lgta hai mlops.  Har company expect kar rhi hai ki u know mlops
eCjuoqUy8Is,Where are next videos of the playlist? Is it under paid plan?
